Date,Sev2,Sev3,Sev4,To Verify,Total Open Defects,Total Bugs
2012-01-01,1,229,61,159,291,1223
2012-01-02,1,232,61,147,294,1228
2012-01-03,1,238,67,147,306,1240
2012-01-04,2,237,66,154,305,1252
2012-01-05,2,228,59,170,289,1261
2012-01-06,2,228,59,162,289,1263
2012-01-07,2,228,59,162,289,1263
2012-01-08,2,228,59,161,289,1263
2012-01-09,1,224,62,158,287,1267
2012-01-10,1,227,62,154,290,1270
2012-01-11,1,225,64,146,290,1282
2012-01-12,1,229,68,138,298,1290
2012-01-13,1,232,68,139,301,1294
2012-01-14,1,232,68,139,301,1294
2012-01-15,1,232,68,139,301,1294
2012-01-16,1,228,66,144,295,1298
2012-01-17,1,227,64,147,292,1300
2012-01-18,1,215,59,160,275,1300
2012-01-19,2,213,63,163,278,1309
2012-01-20,3,156,76,182,235,1311
2012-01-21,3,153,75,186,231,1311
2012-01-22,3,156,75,174,234,1312
2012-01-23,2,157,76,168,235,1318
2012-01-24,3,158,78,159,239,1321
2012-01-25,3,161,81,162,245,1332
2012-01-26,3,161,79,157,243,1332
2012-01-27,3,157,80,161,240,1333
2012-01-28,3,156,80,162,239,1333
2012-01-29,3,157,80,162,240,1333
2012-01-30,4,161,81,153,246,1344
2012-01-31,3,157,79,162,239,1348
2012-02-01,3,166,78,148,247,1363
2012-02-02,3,153,77,170,233,1377
2012-02-03,3,151,76,164,230,1386
2012-02-04,3,150,76,165,229,1386
2012-02-05,3,143,76,164,222,1389
2012-02-06,1,138,75,167,214,1390
2012-02-07,1,129,72,185,202,1401
2012-02-08,1,133,73,194,207,1418
2012-02-09,2,128,71,211,201,1432
2012-02-10,1,129,69,220,199,1445
2012-02-11,1,129,69,220,199,1445
2012-02-12,1,131,68,219,200,1447
2012-02-13,1,132,69,189,202,1454
2012-02-14,1,130,68,170,199,1458
2012-02-15,6,125,70,164,201,1469
2012-02-16,1,125,69,156,195,1470
2012-02-17,1,115,66,173,182,1475
2012-02-18,1,115,66,173,182,1475
2012-02-19,1,119,66,161,186,1475
2012-02-20,1,112,60,175,173,1476
2012-02-21,1,105,60,174,166,1477
2012-02-22,1,99,59,179,159,1477
2012-02-23,1,92,57,180,150,1477
2012-02-24,1,86,54,191,141,1478
